No.,Date,Time,P.Time,AV Pyrometer,AV TC1,AV PTC top,AV PTC bot.,AV Force,AV Speed,AV Abs. Piston T,AV Rel. Piston T,AV Press. Abs. 1,AV Press. Abs. 2,AV Press. Rel.,I RMS,U RMS,AV Heating Power,AV CZ Output,SV Temperature  ,SV Jump to Pyro ,SV Max. Temp TC ,SV Force        ,SV Put on Force ,SV Max. Piston t,SV Rel. Pressure,SV Start Vacuum ,SV Open V1      ,SV Pulse Time   ,SV Pause Time   ,SV Pulses Per Bu,SV Pause Between,SV Power limit  
,,,,°C,°C,°C,°C,kN,mm/min,mm,mm,hPa,hPa,hPa,kA,V,kW,%,°C    ,°C    ,°C    ,kN    ,kN    ,mm    ,hPa   ,hPa   ,hPa   ,ms    ,ms    ,,ms    ,%     
1,02/10/2012,14:25:09,00:00:00,400,25,23,23,4.2,0.000,17.350,0.000,0.00,1018.09,25.64,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
2,02/10/2012,14:25:10,00:00:01,400,25,23,23,7.0,0.900,17.380,0.030,0.00,1018.16,25.64,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
3,02/10/2012,14:25:11,00:00:02,400,25,23,23,5.6,2.030,17.380,0.030,0.00,1017.86,25.64,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
4,02/10/2012,14:25:12,00:00:03,400,25,23,23,5.7,0.000,17.380,0.030,0.00,1016.10,-59.56,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
5,02/10/2012,14:25:13,00:00:04,400,25,23,23,5.5,0.000,17.380,0.030,0.00,1016.10,-59.56,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
6,02/10/2012,14:25:14,00:00:05,400,25,23,23,5.6,0.000,17.380,0.030,0.00,639.04,-252.14,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
7,02/10/2012,14:25:15,00:00:06,400,24,23,23,5.2,0.000,17.380,0.030,0.00,532.81,-486.65,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
8,02/10/2012,14:25:16,00:00:07,400,24,23,23,5.3,0.000,17.380,0.030,0.00,442.23,-486.65,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
9,02/10/2012,14:25:17,00:00:08,400,23,23,23,5.4,0.000,17.380,0.030,0.00,442.23,-571.81,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
10,02/10/2012,14:25:18,00:00:09,400,23,23,23,5.4,0.000,17.380,0.030,0.00,368.44,-634.62,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
11,02/10/2012,14:25:19,00:00:10,400,21,23,23,5.2,0.000,17.380,0.030,0.00,309.68,-634.62,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
12,02/10/2012,14:25:20,00:00:11,400,18,23,23,5.7,0.000,17.380,0.030,0.00,263.13,-634.62,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
13,02/10/2012,14:25:21,00:00:12,400,18,23,23,5.4,0.000,17.380,0.030,0.00,192.08,-634.62,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
14,02/10/2012,14:25:22,00:00:13,400,16,23,23,5.4,0.000,17.380,0.030,0.00,164.91,-634.62,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
15,02/10/2012,14:25:23,00:00:14,400,14,23,23,5.5,0.000,17.380,0.030,0.00,141.33,-634.62,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
16,02/10/2012,14:25:24,00:00:15,400,14,23,23,5.5,0.000,17.380,0.030,0.00,121.18,-634.62,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
17,02/10/2012,14:25:25,00:00:16,400,12,23,23,5.4,0.000,17.380,0.030,0.00,103.63,-634.62,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
18,02/10/2012,14:25:26,00:00:17,400,10,23,23,5.7,0.000,17.380,0.030,0.00,88.83,-634.62,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
