No.,Date,Time,P.Time,AV Pyrometer,AV TC1,AV PTC top,AV PTC bot.,AV Force,AV Speed,AV Abs. Piston T,AV Rel. Piston T,AV Press. Abs. 1,AV Press. Abs. 2,AV Press. Rel.,I RMS,U RMS,AV Heating Power,AV CZ Output,SV Temperature  ,SV Jump to Pyro ,SV Max. Temp TC ,SV Force        ,SV Put on Force ,SV Max. Piston t,SV Rel. Pressure,SV Start Vacuum ,SV Open V1      ,SV Pulse Time   ,SV Pause Time   ,SV Pulses Per Bu,SV Pause Between,SV Power limit  
,,,,°C,°C,°C,°C,kN,mm/min,mm,mm,hPa,hPa,hPa,kA,V,kW,%,°C    ,°C    ,°C    ,kN    ,kN    ,mm    ,hPa   ,hPa   ,hPa   ,ms    ,ms    ,,ms    ,%     
1,02/10/2012,15:39:03,00:00:00,400,25,24,23,8.9,7.200,9.450,0.030,0.00,1017.09,24.73,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
2,02/10/2012,15:39:04,00:00:01,400,25,24,23,7.0,7.200,9.450,0.030,0.00,1017.09,24.73,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
3,02/10/2012,15:39:05,00:00:02,400,25,24,23,5.5,0.000,9.440,0.020,0.00,1017.09,24.73,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
4,02/10/2012,15:39:06,00:00:03,400,25,24,23,5.4,0.000,9.430,0.010,0.00,1017.09,24.73,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
5,02/10/2012,15:39:07,00:00:04,400,25,24,23,5.5,0.000,9.430,0.010,0.00,916.59,-141.87,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
6,02/10/2012,15:39:08,00:00:05,400,25,24,23,5.2,0.000,9.430,0.010,0.00,579.82,-320.09,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
7,02/10/2012,15:39:09,00:00:06,400,24,24,23,5.2,0.150,9.430,0.010,0.00,479.93,-535.41,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
8,02/10/2012,15:39:10,00:00:07,400,24,24,23,5.2,0.520,9.430,0.010,0.00,403.54,-535.41,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
9,02/10/2012,15:39:11,00:00:08,400,23,24,23,5.3,0.000,9.430,0.010,0.00,345.54,-634.62,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
10,02/10/2012,15:39:12,00:00:09,400,21,24,23,5.3,0.000,9.430,0.010,0.00,298.84,-634.62,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
11,02/10/2012,15:39:13,00:00:10,400,21,24,23,5.3,0.000,9.430,0.010,0.00,260.53,-634.62,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
12,02/10/2012,15:39:14,00:00:11,400,19,24,23,5.1,0.000,9.430,0.010,0.00,228.56,-634.62,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
13,02/10/2012,15:39:15,00:00:12,400,16,24,23,5.2,0.000,9.430,0.010,0.00,200.78,-634.62,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
14,02/10/2012,15:39:16,00:00:13,400,16,24,23,5.5,0.000,9.430,0.010,0.00,176.97,-634.62,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
15,02/10/2012,15:39:17,00:00:14,400,14,24,23,5.7,0.000,9.430,0.010,0.00,155.45,-634.62,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
16,02/10/2012,15:39:18,00:00:15,400,12,23,23,5.4,0.000,9.430,0.010,0.00,136.83,-634.62,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
17,02/10/2012,15:39:19,00:00:16,400,12,23,23,5.4,0.000,9.430,0.010,0.00,120.27,-634.69,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
18,02/10/2012,15:39:20,00:00:17,400,10,23,23,5.4,0.000,9.430,0.010,0.00,92.57,-634.73,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
19,02/10/2012,15:39:21,00:00:18,400,8,23,23,5.4,0.000,9.430,0.010,0.00,78.53,-634.77,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
20,02/10/2012,15:39:22,00:00:19,400,8,23,23,5.4,0.000,9.430,0.010,0.00,78.53,-634.77,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
21,02/10/2012,15:39:23,00:00:20,400,7,23,23,5.3,0.000,9.430,0.010,0.00,55.86,-634.77,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
22,02/10/2012,15:39:24,00:00:21,400,6,23,23,5.4,0.000,9.430,0.010,0.00,47.39,-634.81,0.02,0.01,0.0,100.0,450,450,400,5,5,12,20,1,100,0,0,1,0,0
