No.,Date,Time,P.Time,AV Pyrometer,AV TC1 (K),AV TC2 (S),AV PTC top,AV PTC bot.,AV Force,AV Speed,AV Abs. Piston T,AV Rel. Piston T,AV Press. Abs. 1,AV Press. Abs. 2,AV Press. Rel.,I RMS,U RMS,AV Heating Power,AV CZ Output,SV Temperature  ,SV Jump to Pyro ,SV Max. Temp TC ,SV Force        ,SV Put on Force ,SV Max. Piston t,SV Rel. Pressure,SV Start Vacuum ,SV Open V1      ,SV Pulse Time   ,SV Pause Time   ,SV Pulses Per Bu,SV Pause Between,SV Power limit  
,,,,°C,°C,°C,°C,°C,kN,mm/min,mm,mm,hPa,hPa,hPa,kA,V,kW,%,°C    ,°C    ,°C    ,kN    ,kN    ,mm    ,hPa   ,hPa   ,hPa   ,ms    ,ms    ,,ms    ,%     
1,25/04/2013,15:00:09,00:00:00,400,24,23,22,22,5,0.000,47.500,0.000,0.00,1009.77,14.04,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
2,25/04/2013,15:00:10,00:00:01,400,24,23,22,22,5,0.000,47.500,0.000,0.00,1009.77,14.04,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
3,25/04/2013,15:00:11,00:00:02,400,24,23,22,22,5,0.000,47.500,0.000,0.00,1009.77,14.04,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
4,25/04/2013,15:00:12,00:00:03,400,24,23,22,22,5,0.000,47.500,0.000,0.00,1009.69,14.04,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
5,25/04/2013,15:00:13,00:00:04,400,24,23,22,22,4,0.000,47.500,0.000,0.00,1009.69,11.49,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
6,25/04/2013,15:00:14,00:00:05,400,24,23,22,22,4,0.000,47.500,0.000,0.00,837.99,-208.26,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
7,25/04/2013,15:00:15,00:00:06,400,23,23,22,22,4,0.080,47.500,0.000,0.00,562.96,-349.21,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
8,25/04/2013,15:00:16,00:00:07,400,23,23,22,22,4,0.000,47.500,0.000,0.00,465.20,-553.53,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
9,25/04/2013,15:00:17,00:00:08,400,22,23,22,22,4,0.000,47.500,0.000,0.00,386.98,-553.53,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
10,25/04/2013,15:00:18,00:00:09,400,21,23,22,22,4,0.000,47.500,0.000,0.00,324.79,-634.62,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
11,25/04/2013,15:00:19,00:00:10,400,21,23,22,22,4,0.000,47.500,0.000,0.00,275.41,-634.62,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
12,25/04/2013,15:00:20,00:00:11,400,19,22,22,22,4,0.000,47.500,0.000,0.00,234.89,-634.62,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
13,25/04/2013,15:00:21,00:00:12,400,16,21,22,22,4,0.000,47.500,0.000,0.00,202.53,-634.62,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
14,25/04/2013,15:00:22,00:00:13,400,16,21,22,22,4,0.000,47.500,0.000,0.00,176.05,-634.62,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
15,25/04/2013,15:00:23,00:00:14,400,13,21,22,22,5,0.000,47.500,0.000,0.00,152.85,-634.62,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
16,25/04/2013,15:00:24,00:00:15,400,10,20,22,22,4,0.000,47.500,0.000,0.00,132.33,-634.62,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
17,25/04/2013,15:00:25,00:00:16,400,8,19,22,22,4,0.000,47.500,0.000,0.00,99.21,-634.62,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
18,25/04/2013,15:00:26,00:00:17,400,8,19,22,22,4,0.000,47.500,0.000,0.00,99.21,-634.62,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
19,25/04/2013,15:00:27,00:00:18,400,6,18,22,22,4,0.000,47.500,0.000,0.00,74.02,-634.65,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
20,25/04/2013,15:00:28,00:00:19,400,4,17,22,22,5,0.000,47.500,0.000,0.00,63.80,-634.65,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
21,25/04/2013,15:00:29,00:00:20,400,4,17,22,22,5,0.000,47.500,0.000,0.00,63.80,-634.65,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
22,25/04/2013,15:00:30,00:00:21,400,3,15,22,22,5,0.000,47.500,0.000,0.00,47.24,-634.65,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
23,25/04/2013,15:00:31,00:00:22,400,3,15,22,22,4,0.000,47.500,0.000,0.00,47.24,-634.65,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
24,25/04/2013,15:00:32,00:00:23,400,2,15,22,22,4,0.000,47.500,0.000,0.00,40.60,-634.73,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
25,25/04/2013,15:00:33,00:00:24,400,2,14,22,22,4,0.000,47.500,0.000,0.00,34.80,-634.73,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
26,25/04/2013,15:00:34,00:00:25,400,2,13,22,22,4,0.000,47.500,0.000,0.00,25.64,-634.77,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
27,25/04/2013,15:00:35,00:00:26,400,1,13,22,22,4,0.000,47.500,0.000,0.00,25.64,-634.81,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
28,25/04/2013,15:00:36,00:00:27,400,1,12,22,22,5,0.000,47.500,0.000,0.00,21.98,-634.84,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
29,25/04/2013,15:00:37,00:00:28,400,0,12,22,22,4,0.000,47.500,0.000,0.00,15.87,-634.81,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
30,25/04/2013,15:00:38,00:00:29,400,0,12,22,22,5,0.300,47.500,0.000,0.00,13.35,-634.88,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
