No.;Date;Temps;P.Temps;AV Pyrometer;AV MTC1;AV PTC Top;AV PTC Bottom;AV Press. abs. 1;AV Press. abs. 2;AV Press. rel.;AV Abs. Piston T;AV Rel. Piston T;AV Force;AV Speed;I RMS;U RMS;AV Heating Power;SV Temperature  ;SV Start Temp. T;SV Max. TC Temp.;SV Rel. press.  ;SV Start vacuum ;SV Vac. Main Val;SV Max. piston t;SV Force        ;SV Speed        ;SV Put on force ;SV Pulse time   ;SV Pause time   ;SV Pulses per bu;SV Pause between;SV Y Heating    
;;;;°C;°C;°C;°C;mbar;mbar;mbar;mm;mm;kN;mm/min;kA;V;kW;°C    ;°C    ;°C    ;hPa   ;hPa   ;hPa   ;mm    ;kN    ;mm/min;kN    ;ms    ;ms    ;;ms    ;%     
1;09/11/2018;15:30:52;00:00:00;400;51;21;20;0,01;2,79;-129,79;16,530;0,100;8;-0,210;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
2;09/11/2018;15:30:53;00:00:01;400;51;21;20;0,01;2,79;-129,79;16,590;0,160;10;3,140;0,10;0,00;0,0;450;20;200;20;1;300;10;4;10;1;0;0;1;0;0
3;09/11/2018;15:30:54;00:00:02;400;51;21;20;0,01;2,79;-129,79;16,710;0,270;12;3,140;0,10;0,00;0,0;450;20;200;20;1;300;10;4;10;1;0;0;1;0;0
4;09/11/2018;15:30:55;00:00:03;400;51;21;20;0,01;2,79;-129,79;16,800;0,360;14;3,140;0,10;0,00;0,0;450;20;200;20;1;300;10;5;10;1;0;0;1;0;0
5;09/11/2018;15:30:56;00:00:04;400;51;21;20;0,01;2,79;-129,79;16,490;0,070;4;-1,350;0,10;0,00;0,0;450;20;200;20;1;300;10;5;10;1;0;0;1;0;0
6;09/11/2018;15:30:57;00:00:05;400;51;21;20;0,01;2,79;-129,79;16,480;0,060;4;-1,350;0,10;0,00;0,0;450;20;200;20;1;300;10;5;10;1;0;0;1;0;0
7;09/11/2018;15:30:58;00:00:06;400;51;21;20;0,01;2,79;-129,79;16,480;0,060;5;-1,350;0,10;0,00;0,0;450;20;200;20;1;300;10;6;10;1;0;0;1;0;0
8;09/11/2018;15:30:59;00:00:07;400;51;21;20;0,01;2,79;-129,79;16,480;0,060;5;-1,350;0,10;0,00;0,0;450;20;200;20;1;300;10;6;10;1;0;0;1;0;0
9;09/11/2018;15:31:00;00:00:08;400;51;21;20;0,01;2,79;-129,79;16,490;0,070;5;-0,030;0,10;0,00;0,0;450;20;200;20;1;300;10;7;10;1;0;0;1;0;0
10;09/11/2018;15:31:01;00:00:09;400;51;21;20;0,01;2,78;-129,79;16,490;0,070;6;-0,030;0,10;0,00;0,0;450;20;200;20;1;300;10;7;10;1;0;0;1;0;0
11;09/11/2018;15:31:02;00:00:10;400;51;21;20;0,01;2,79;-129,79;16,500;0,080;7;-0,030;0,10;0,00;0,0;450;20;200;20;1;300;10;8;10;1;0;0;1;0;0
12;09/11/2018;15:31:03;00:00:11;400;51;21;20;0,01;2,79;-129,79;16,500;0,080;7;0,310;0,10;0,00;0,0;450;20;200;20;1;300;10;8;10;1;0;0;1;0;0
13;09/11/2018;15:31:04;00:00:12;400;50;21;20;0,01;2,78;-129,79;16,520;0,100;7;0,310;0,10;0,00;0,0;450;20;200;20;1;300;10;9;10;1;0;0;1;0;0
14;09/11/2018;15:31:05;00:00:13;400;50;21;20;0,01;2,77;-129,79;16,540;0,120;8;0,310;0,10;0,00;0,0;450;20;200;20;1;300;10;9;10;1;0;0;1;0;0
15;09/11/2018;15:31:06;00:00:14;400;50;21;20;0,01;2,77;-129,79;16,550;0,130;8;0,310;0,10;0,00;0,0;450;20;200;20;1;300;10;9;10;1;0;0;1;0;0
16;09/11/2018;15:31:07;00:00:15;400;50;21;20;0,01;2,77;-129,79;16,570;0,150;9;0,890;0,10;0,00;0,0;450;20;200;20;1;300;10;10;10;1;0;0;1;0;0
17;09/11/2018;15:31:08;00:00:16;400;50;21;20;0,01;2,77;-129,79;16,580;0,160;9;0,890;0,10;0,00;0,0;450;20;200;20;1;300;10;10;10;1;0;0;1;0;0
18;09/11/2018;15:31:09;00:00:17;400;50;21;20;0,01;2,77;-129,79;16,600;0,180;9;0,890;0,10;0,00;0,0;450;20;200;20;1;300;10;11;10;1;0;0;1;0;0
19;09/11/2018;15:31:10;00:00:18;400;50;21;20;0,01;2,77;-129,79;16,630;0,200;10;1,080;0,10;0,00;0,0;450;20;200;20;1;300;10;11;10;1;0;0;1;0;0
20;09/11/2018;15:31:11;00:00:19;400;50;21;20;0,01;2,77;-129,79;16,640;0,210;10;1,080;0,10;0,00;0,0;450;20;200;20;1;300;10;11;10;1;0;0;1;0;0
21;09/11/2018;15:31:12;00:00:20;400;50;21;20;0,01;2,77;-129,79;16,660;0,240;11;1,080;0,10;0,00;0,0;450;20;200;20;1;300;10;12;10;1;0;0;1;0;0
22;09/11/2018;15:31:13;00:00:21;400;50;21;20;0,01;2,77;-129,79;16,680;0,260;11;1,140;0,10;0,00;0,0;450;20;200;20;1;300;10;12;10;1;0;0;1;0;0
23;09/11/2018;15:31:14;00:00:22;400;50;21;20;0,01;2,77;-129,79;16,690;0,270;11;1,140;0,10;0,00;0,0;450;20;200;20;1;300;10;13;10;1;0;0;1;0;0
24;09/11/2018;15:31:15;00:00:23;400;50;21;20;0,01;2,77;-129,79;16,720;0,300;12;1,140;0,10;0,00;0,0;450;20;200;20;1;300;10;13;10;1;0;0;1;0;0
25;09/11/2018;15:31:16;00:00:24;400;50;21;20;0,01;2,76;-129,79;16,740;0,320;13;1,140;0,10;0,00;0,0;450;20;200;20;1;300;10;14;10;1;0;0;1;0;0
26;09/11/2018;15:31:17;00:00:25;400;50;21;20;0,01;2,76;-129,79;16,750;0,330;13;1,140;0,10;0,00;0,0;450;20;200;20;1;300;10;14;10;1;0;0;1;0;0
27;09/11/2018;15:31:18;00:00:26;400;50;21;20;0,01;2,77;-129,79;16,770;0,350;13;1,140;0,10;0,00;0,0;450;20;200;20;1;300;10;15;10;1;0;0;1;0;0
28;09/11/2018;15:31:19;00:00:27;400;50;21;20;0,01;2,75;-129,79;16,800;0,380;14;1,140;0,10;0,00;0,0;450;20;200;20;1;300;10;15;10;1;0;0;1;0;0
29;09/11/2018;15:31:20;00:00:28;400;50;21;20;0,01;2,75;-129,79;16,810;0,390;14;1,150;0,10;0,00;0,0;450;20;200;20;1;300;10;15;10;1;0;0;1;0;0
30;09/11/2018;15:31:21;00:00:29;400;50;21;20;0,01;2,75;-129,79;16,840;0,410;15;1,150;0,10;0,00;0,0;450;20;200;20;1;300;10;16;10;1;0;0;1;0;0
31;09/11/2018;15:31:22;00:00:30;400;50;21;20;0,01;2,75;-129,79;16,850;0,430;15;1,150;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
32;09/11/2018;15:31:23;00:00:31;400;50;21;20;0,01;2,75;-129,79;16,870;0,450;15;1,150;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
33;09/11/2018;15:31:24;00:00:32;400;50;21;20;0,01;2,75;-129,79;16,870;0,450;15;1,150;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
34;09/11/2018;15:31:25;00:00:33;400;50;21;20;0,01;2,73;-129,79;16,870;0,450;15;1,150;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
35;09/11/2018;15:31:26;00:00:34;400;50;21;20;0,01;2,74;-129,79;16,870;0,450;15;1,150;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
36;09/11/2018;15:31:27;00:00:35;400;50;21;20;0,01;2,74;-129,79;16,870;0,450;15;0,130;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
37;09/11/2018;15:31:28;00:00:36;400;50;21;20;0,01;2,74;-129,79;16,870;0,450;15;0,130;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
38;09/11/2018;15:31:29;00:00:37;400;50;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,130;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
39;09/11/2018;15:31:30;00:00:38;400;50;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,040;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
40;09/11/2018;15:31:31;00:00:39;400;50;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,040;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
41;09/11/2018;15:31:32;00:00:40;400;50;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,040;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
42;09/11/2018;15:31:33;00:00:41;400;50;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,010;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
43;09/11/2018;15:31:34;00:00:42;400;50;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,010;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
44;09/11/2018;15:31:35;00:00:43;400;50;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,010;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
45;09/11/2018;15:31:36;00:00:44;400;50;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,010;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
46;09/11/2018;15:31:37;00:00:45;400;50;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,030;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
47;09/11/2018;15:31:38;00:00:46;400;50;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,030;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
48;09/11/2018;15:31:39;00:00:47;400;50;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,030;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
49;09/11/2018;15:31:40;00:00:48;400;50;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,000;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
50;09/11/2018;15:31:41;00:00:49;400;50;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,000;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
51;09/11/2018;15:31:42;00:00:50;400;50;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,000;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
52;09/11/2018;15:31:43;00:00:51;400;50;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,000;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
53;09/11/2018;15:31:44;00:00:52;400;50;21;20;0,01;2,73;-129,79;16,880;0,460;15;0,000;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
54;09/11/2018;15:31:45;00:00:53;400;49;21;20;0,01;2,73;-129,79;16,880;0,460;15;0,000;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
55;09/11/2018;15:31:46;00:00:54;400;49;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,000;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
56;09/11/2018;15:31:47;00:00:55;400;49;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,010;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
57;09/11/2018;15:31:48;00:00:56;400;49;21;20;0,01;2,73;-129,79;16,880;0,460;15;0,010;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
58;09/11/2018;15:31:49;00:00:57;400;49;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,010;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
59;09/11/2018;15:31:50;00:00:58;400;49;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,000;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
60;09/11/2018;15:31:51;00:00:59;400;49;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,000;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
61;09/11/2018;15:31:52;00:01:00;400;49;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,000;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
62;09/11/2018;15:31:53;00:01:01;400;49;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,000;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
63;09/11/2018;15:31:54;00:01:02;400;49;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,000;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
64;09/11/2018;15:31:55;00:01:03;400;49;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,000;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
65;09/11/2018;15:31:56;00:01:04;400;49;21;20;0,01;2,73;-129,79;16,880;0,460;15;0,000;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
66;09/11/2018;15:31:57;00:01:05;400;49;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,000;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
67;09/11/2018;15:31:58;00:01:06;400;49;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,000;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
68;09/11/2018;15:31:59;00:01:07;400;49;21;20;0,01;2,75;-129,79;16,880;0,460;15;0,000;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
69;09/11/2018;15:32:00;00:01:08;400;49;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,010;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
70;09/11/2018;15:32:01;00:01:09;400;49;21;20;0,01;2,74;-129,79;16,880;0,460;15;0,010;0,10;0,00;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
71;09/11/2018;15:32:02;00:01:10;400;49;21;20;0,01;2,75;-129,79;16,880;0,460;15;0,010;0,22;2,31;0,0;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
72;09/11/2018;15:32:03;00:01:11;400;49;21;20;0,01;2,75;-129,79;16,880;0,460;15;-0,010;0,42;3,57;1,5;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
73;09/11/2018;15:32:04;00:01:12;400;49;21;20;0,01;2,74;-129,78;16,880;0,460;15;-0,010;0,42;3,58;1,5;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
74;09/11/2018;15:32:05;00:01:13;400;49;21;20;0,01;2,74;-129,79;16,880;0,460;15;-0,010;0,43;3,57;1,5;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
75;09/11/2018;15:32:06;00:01:14;400;49;21;20;0,01;2,74;-129,78;16,880;0,460;15;-0,010;0,43;3,57;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
76;09/11/2018;15:32:07;00:01:15;400;49;21;20;0,01;2,74;-129,79;16,880;0,460;15;-0,040;0,43;3,57;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
77;09/11/2018;15:32:08;00:01:16;400;49;21;20;0,01;2,73;-129,78;16,880;0,460;15;-0,040;0,43;3,55;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
78;09/11/2018;15:32:09;00:01:17;400;49;21;20;0,01;2,73;-129,79;16,870;0,450;15;-0,040;0,44;3,56;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
79;09/11/2018;15:32:10;00:01:18;400;49;21;21;0,01;2,74;-129,79;16,870;0,450;15;-0,030;0,44;3,57;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
80;09/11/2018;15:32:11;00:01:19;400;49;21;21;0,01;2,74;-129,79;16,870;0,450;15;-0,030;0,44;3,56;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
81;09/11/2018;15:32:12;00:01:20;400;49;21;21;0,01;2,74;-129,79;16,870;0,450;15;-0,030;0,45;3,56;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
82;09/11/2018;15:32:13;00:01:21;400;49;21;21;0,01;2,74;-129,79;16,870;0,450;15;-0,030;0,45;3,56;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
83;09/11/2018;15:32:14;00:01:22;400;49;21;22;0,01;2,74;-129,79;16,870;0,450;15;-0,050;0,45;3,56;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
84;09/11/2018;15:32:15;00:01:23;400;49;21;22;0,01;2,75;-129,79;16,870;0,450;15;-0,050;0,45;3,56;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
85;09/11/2018;15:32:16;00:01:24;400;49;22;22;0,01;2,75;-129,79;16,870;0,450;15;-0,050;0,45;3,56;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
86;09/11/2018;15:32:17;00:01:25;400;49;22;22;0,01;2,73;-129,79;16,870;0,450;15;-0,030;0,45;3,56;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
87;09/11/2018;15:32:18;00:01:26;400;49;22;23;0,01;2,73;-129,79;16,870;0,450;15;-0,030;0,45;3,56;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
88;09/11/2018;15:32:19;00:01:27;400;49;23;23;0,01;2,74;-129,79;16,870;0,450;15;-0,030;0,45;3,55;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
89;09/11/2018;15:32:20;00:01:28;400;49;23;23;0,01;2,74;-129,79;16,870;0,450;15;-0,040;0,46;3,56;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
90;09/11/2018;15:32:21;00:01:29;400;49;23;24;0,01;2,74;-129,79;16,870;0,450;15;-0,040;0,46;3,56;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
91;09/11/2018;15:32:22;00:01:30;400;48;23;25;0,01;2,74;-129,79;16,860;0,440;15;-0,040;0,46;3,55;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
92;09/11/2018;15:32:23;00:01:31;400;48;24;25;0,01;2,74;-129,79;16,860;0,440;15;-0,060;0,46;3,56;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
93;09/11/2018;15:32:24;00:01:32;400;48;24;25;0,01;2,74;-129,79;16,860;0,440;15;-0,060;0,46;3,55;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
94;09/11/2018;15:32:25;00:01:33;400;48;24;26;0,01;2,74;-129,78;16,860;0,440;15;-0,060;0,47;3,55;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
95;09/11/2018;15:32:26;00:01:34;400;48;24;26;0,01;2,74;-129,79;16,860;0,440;15;-0,060;0,46;3,55;1,6;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
96;09/11/2018;15:32:27;00:01:35;400;48;25;27;0,01;2,75;-129,79;16,860;0,440;15;-0,060;0,47;3,54;1,7;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
97;09/11/2018;15:32:28;00:01:36;400;48;25;27;0,01;2,76;-129,79;16,860;0,440;15;-0,060;0,47;3,55;1,7;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
98;09/11/2018;15:32:29;00:01:37;400;48;25;27;0,01;2,76;-129,79;16,860;0,440;15;-0,060;0,47;3,55;1,7;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
99;09/11/2018;15:32:30;00:01:38;400;48;26;28;0,01;2,76;-129,79;16,860;0,440;15;-0,030;0,47;3,55;1,7;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
100;09/11/2018;15:32:31;00:01:39;400;48;26;28;0,01;2,76;-129,79;16,860;0,440;15;-0,030;0,47;3,54;1,7;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
101;09/11/2018;15:32:32;00:01:40;400;48;26;28;0,01;2,76;-129,79;16,860;0,440;15;-0,030;0,47;3,54;1,7;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
102;09/11/2018;15:32:33;00:01:41;400;48;26;29;0,01;2,76;-129,79;16,850;0,430;15;-0,030;0,47;3,55;1,7;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
103;09/11/2018;15:32:34;00:01:42;400;48;27;29;0,01;2,76;-129,79;16,850;0,430;15;-0,070;0,47;3,55;1,7;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
104;09/11/2018;15:32:35;00:01:43;400;48;27;29;0,01;2,75;-129,79;16,850;0,430;15;-0,070;0,47;3,54;1,7;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
105;09/11/2018;15:32:36;00:01:44;400;48;27;30;0,01;2,75;-129,79;16,850;0,430;15;-0,070;0,47;3,54;1,7;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
106;09/11/2018;15:32:37;00:01:45;400;48;28;31;0,01;2,75;-129,79;16,850;0,430;15;-0,070;0,47;3,54;1,7;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
107;09/11/2018;15:32:38;00:01:46;400;48;28;31;0,01;2,76;-129,79;16,850;0,430;15;-0,070;0,47;3,54;1,7;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
108;09/11/2018;15:32:39;00:01:47;400;48;28;31;0,01;2,76;-129,79;16,850;0,430;15;-0,070;0,47;3,52;1,7;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
109;09/11/2018;15:32:40;00:01:48;400;48;29;31;0,01;2,76;-129,79;16,850;0,430;15;-0,070;0,48;3,55;1,7;450;450;200;20;1;300;10;16;10;1;12;2;1;1;25
