No.;Date;Temps;P.Temps;AV Pyrometer;AV MTC1;AV PTC Top;AV PTC Bottom;AV Press. abs. 1;AV Press. abs. 2;AV Press. rel.;AV Abs. Piston T;AV Rel. Piston T;AV Force;AV Speed;I RMS;U RMS;AV Heating Power;SV Temperature  ;SV Start Temp. T;SV Max. TC Temp.;SV Rel. press.  ;SV Start vacuum ;SV Vac. Main Val;SV Max. piston t;SV Force        ;SV Speed        ;SV Put on force ;SV Pulse time   ;SV Pause time   ;SV Pulses per bu;SV Pause between;SV Y Heating    
;;;;°C;°C;°C;°C;mbar;mbar;mbar;mm;mm;kN;mm/min;kA;V;kW;°C    ;°C    ;°C    ;hPa   ;hPa   ;hPa   ;mm    ;kN    ;mm/min;kN    ;ms    ;ms    ;;ms    ;%     
1;09/11/2018;15:05:12;00:00:00;400;20;20;20;13,30;21,95;-129,79;13,470;0,040;8;-4,010;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
2;09/11/2018;15:05:13;00:00:01;400;20;20;20;13,30;21,95;-129,79;13,520;0,090;9;-4,010;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
3;09/11/2018;15:05:14;00:00:02;400;20;20;20;13,30;21,95;-129,79;13,520;0,100;8;-4,010;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
4;09/11/2018;15:05:15;00:00:03;400;20;20;20;13,30;21,95;-129,79;13,660;0,220;11;-4,010;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
5;09/11/2018;15:05:16;00:00:04;400;20;20;20;13,30;21,91;-129,79;13,350;-0,070;2;4,940;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
6;09/11/2018;15:05:17;00:00:05;400;20;20;20;13,30;21,91;-129,79;13,330;-0,090;2;4,940;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
7;09/11/2018;15:05:18;00:00:06;400;20;20;20;13,30;21,22;-129,79;13,320;-0,100;2;4,940;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
8;09/11/2018;15:05:19;00:00:07;400;20;20;20;13,19;19,85;-129,79;13,320;-0,100;2;-7,220;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
9;09/11/2018;15:05:20;00:00:08;400;20;20;20;13,19;19,85;-129,79;13,320;-0,100;2;-7,220;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
10;09/11/2018;15:05:21;00:00:09;400;20;20;20;12,24;17,94;-129,79;13,320;-0,100;2;-7,220;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
11;09/11/2018;15:05:22;00:00:10;400;20;20;20;10,84;15,61;-129,79;13,310;-0,110;2;-7,220;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
12;09/11/2018;15:05:23;00:00:11;400;20;20;20;10,84;15,61;-129,79;13,310;-0,110;2;-0,050;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
13;09/11/2018;15:05:24;00:00:12;400;20;20;20;9,08;13,54;-129,79;13,310;-0,110;2;-0,050;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
14;09/11/2018;15:05:25;00:00:13;400;20;20;20;7,42;13,54;-129,79;13,310;-0,110;2;-0,050;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
15;09/11/2018;15:05:26;00:00:14;400;20;20;20;7,42;11,81;-129,79;13,310;-0,110;2;-0,030;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
16;09/11/2018;15:05:27;00:00:15;400;20;20;20;6,04;10,35;-129,79;13,310;-0,110;2;-0,030;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
17;09/11/2018;15:05:28;00:00:16;400;20;20;20;6,04;10,35;-129,79;13,310;-0,110;2;-0,030;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
18;09/11/2018;15:05:29;00:00:17;400;20;20;20;4,90;9,14;-129,79;13,310;-0,110;2;-0,020;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
19;09/11/2018;15:05:30;00:00:18;400;20;20;20;3,88;9,14;-129,79;13,310;-0,110;2;-0,020;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
20;09/11/2018;15:05:31;00:00:19;400;20;20;20;3,88;8,04;-129,79;13,310;-0,110;2;-0,020;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
21;09/11/2018;15:05:32;00:00:20;400;20;20;20;3,03;7,15;-129,79;13,310;-0,110;2;0,000;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
22;09/11/2018;15:05:33;00:00:21;400;20;20;20;3,03;7,15;-129,79;13,310;-0,110;2;0,000;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
23;09/11/2018;15:05:34;00:00:22;400;20;20;20;2,34;6,41;-129,79;13,310;-0,110;2;0,000;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
24;09/11/2018;15:05:35;00:00:23;400;20;20;20;1,76;6,41;-129,79;13,310;-0,110;2;0,000;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
25;09/11/2018;15:05:36;00:00:24;400;20;20;20;1,76;5,76;-129,79;13,310;-0,110;2;0,000;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
26;09/11/2018;15:05:37;00:00:25;400;20;20;20;1,36;5,35;-129,79;13,310;-0,110;2;0,000;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
27;09/11/2018;15:05:38;00:00:26;400;20;20;20;1,03;5,35;-129,79;13,310;-0,110;2;0,000;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
28;09/11/2018;15:05:39;00:00:27;400;20;20;20;1,03;4,96;-129,79;13,310;-0,110;2;-0,010;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
29;09/11/2018;15:05:40;00:00:28;400;20;20;20;0,76;4,63;-129,79;13,310;-0,110;2;-0,010;0,10;0,00;0,0;450;20;200;20;1;300;10;3;10;1;0;0;1;0;0
30;09/11/2018;15:05:41;00:00:29;400;20;20;20;0,53;4,41;-129,79;13,310;-0,110;3;-0,010;0,10;0,00;0,0;450;20;200;20;1;300;10;4;10;1;0;0;1;0;0
31;09/11/2018;15:05:42;00:00:30;400;20;20;20;0,53;4,41;-129,79;13,310;-0,110;3;-0,010;0,10;0,00;0,0;450;20;200;20;1;300;10;4;10;1;0;0;1;0;0
32;09/11/2018;15:05:43;00:00:31;400;20;20;20;0,34;4,18;-129,79;13,310;-0,110;3;0,020;0,10;0,00;0,0;450;20;200;20;1;300;10;5;10;1;0;0;1;0;0
