"","No.","AV.Pyrometer","AV.MTC1","AV.Abs..Piston.T","AV.Force","I.RMS","U.RMS","pression","reldisp","dplblanc","dplcorr","hlitpoudre","density","reldensity","DDDTsurD"
"581",580,945,30,18.73,16,1.27,5.05,5.09295817894065,0,-0.0755199046490018,0.0755199046490018,1.26830988618379,0.250971698361156,0.250971698361156,NA
"591",590,960,30,18.72,16,1.3,5.13,5.09295817894065,-0.0100000000000016,-0.0909417206304877,0.0809417206304862,1.27830988618379,0.249008389612051,0.249008389612051,-0.000782330803517954
"601",600,977,31,18.71,15,1.3,5.11,4.77464829275686,-0.0199999999999996,-0.108384690751601,0.0883846907516015,1.28830988618379,0.247075559690598,0.247075559690598,-0.00039114146374365
"611",610,994,31,18.71,15,1.32,5.13,4.77464829275686,-0.0199999999999996,-0.125790379882025,0.105790379882025,1.28830988618379,0.247075559690598,0.247075559690598,0
"621",620,1010,31,18.71,15,1.34,5.18,4.77464829275686,-0.0199999999999996,-0.142138148954457,0.122138148954458,1.28830988618379,0.247075559690598,0.247075559690598,0
"631",630,1026,32,18.71,16,1.36,5.23,5.09295817894065,-0.0199999999999996,-0.158452894035137,0.138452894035137,1.28830988618379,0.247075559690598,0.247075559690598,0
"641",640,1044,32,18.71,15,1.38,5.24,4.77464829275686,-0.0199999999999996,-0.17676750826076,0.15676750826076,1.28830988618379,0.247075559690598,0.247075559690598,0
"651",650,1060,32,18.71,16,1.41,5.3,5.09295817894065,-0.0199999999999996,-0.193012077358964,0.173012077358965,1.28830988618379,0.247075559690598,0.247075559690598,0
"661",660,1077,33,18.71,15,1.43,5.35,4.77464829275686,-0.0199999999999996,-0.210235747534843,0.190235747534844,1.28830988618379,0.247075559690598,0.247075559690598,0
"671",670,1093,33,18.71,16,1.45,5.38,5.09295817894065,-0.0199999999999996,-0.226412204650058,0.206412204650058,1.28830988618379,0.247075559690598,0.247075559690598,0
"681",680,1109,34,18.71,16,1.47,5.41,5.09295817894065,-0.0199999999999996,-0.242555637773519,0.222555637773519,1.28830988618379,0.247075559690598,0.247075559690598,0
"691",690,1129,34,18.71,15,1.5,5.46,4.77464829275686,-0.0199999999999996,-0.262688489189443,0.242688489189444,1.28830988618379,0.247075559690598,0.247075559690598,0
"701",700,1144,34,18.71,15,1.52,5.51,4.77464829275686,-0.0199999999999996,-0.277754265259843,0.257754265259843,1.28830988618379,0.247075559690598,0.247075559690598,0.00039114146374365
"711",710,1160,35,18.72,15,1.56,5.57,4.77464829275686,-0.0100000000000016,-0.293792434409592,0.28379243440959,1.27830988618379,0.249008389612051,0.249008389612051,0.000388105381602713
"721",720,1177,35,18.72,16,1.57,5.58,5.09295817894065,-0.0100000000000016,-0.310796804640236,0.300796804640235,1.27830988618379,0.249008389612051,0.249008389612051,0.000394225421915241
"731",730,1193,36,18.73,15,1.57,5.59,4.77464829275686,0,-0.326766861806995,0.326766861806995,1.26830988618379,0.250971698361156,0.250971698361156,0.00160246991774066
"741",740,1208,37,18.76,15,1.61,5.67,4.77464829275686,0.0300000000000011,-0.341708797908321,0.371708797908322,1.23830988618379,0.257051881548612,0.257051881548612,0.00372869581049886
"751",750,1227,37,18.82,15,1.64,5.71,4.77464829275686,0.0899999999999999,-0.360593583313739,0.450593583313739,1.17830988618379,0.27014106383738,0.27014106383738,0.00606461629515563
"761",760,1244,38,18.9,15,1.66,5.75,4.77464829275686,0.169999999999998,-0.377451022581076,0.547451022581075,1.09830988618379,0.289817919503389,0.289817919503389,0.00952771875902451
"771",770,1258,38,19.02,15,1.7,5.8,4.77464829275686,0.289999999999999,-0.391305626631757,0.681305626631756,0.978309886183791,0.325367136404457,0.325367136404457,0.0138130732201196
"781",780,1277,39,19.16,15,1.69,5.78,4.77464829275686,0.43,-0.41006786206778,0.840067862067779,0.83830988618379,0.379704321074897,0.379704321074897,0.0180514519816489
"791",790,1293,39,19.31,15,1.73,5.84,4.77464829275686,0.579999999999998,-0.425831519286082,1.00583151928608,0.688309886183792,0.46245142278662,0.46245142278662,0.0205888522532864
"801",800,1308,40,19.44,15,1.77,5.91,4.77464829275686,0.710000000000001,-0.440579955435731,1.15057995543573,0.558309886183789,0.570131201436413,0.570131201436413,0.023132366122326
"811",810,1328,41,19.56,15,1.79,5.94,4.77464829275686,0.829999999999998,-0.460199386979871,1.29019938697987,0.438309886183792,0.726221096574393,0.726221096574393,0.0236662498956215
"821",820,1344,41,19.65,15,1.81,5.98,4.77464829275686,0.919999999999998,-0.475857780224461,1.39585778022446,0.348309886183792,0.91386980045645,0.91386980045645,0.014979097858845
"831",830,1359,42,19.68,15,1.84,6.04,4.77464829275686,0.949999999999999,-0.490507531398754,1.44050753139875,0.318309886183791,1,1,0.00592825492408463
"841",840,1376,43,19.69,15,1.86,6.05,4.77464829275686,0.960000000000001,-0.507075494738382,1.46707549473838,0.308309886183789,1.03243489893814,1.03243489893814,0.00157079632679514
"851",850,1392,44,19.69,15,1.89,6.1,4.77464829275686,0.960000000000001,-0.522634816007713,1.48263481600771,0.308309886183789,1.03243489893814,1.03243489893814,-0.00157079632679514
"861",860,1409,44,19.68,15,1.91,6.14,4.77464829275686,0.949999999999999,-0.539130410365414,1.48913041036541,0.318309886183791,1,1,-0.00162174494690714
"871",870,1426,45,19.68,15,1.91,6.13,4.77464829275686,0.949999999999999,-0.555588723732425,1.50558872373242,0.318309886183791,1,1,0
"881",880,1443,46,19.68,15,1.95,6.22,4.77464829275686,0.949999999999999,-0.572009756108746,1.52200975610875,0.318309886183791,1,1,NA
