No.,Date,Time,P.Time,AV Pyrometer,AV TC1 (K),AV TC2 (S),AV PTC top,AV PTC bot.,AV Force,AV Speed,AV Abs. Piston T,AV Rel. Piston T,AV Press. Abs. 1,AV Press. Abs. 2,AV Press. Rel.,I RMS,U RMS,AV Heating Power,AV CZ Output,SV Temperature  ,SV Jump to Pyro ,SV Max. Temp TC ,SV Force        ,SV Put on Force ,SV Max. Piston t,SV Rel. Pressure,SV Start Vacuum ,SV Open V1      ,SV Pulse Time   ,SV Pause Time   ,SV Pulses Per Bu,SV Pause Between,SV Power limit  
,,,,°C,°C,°C,°C,°C,kN,mm/min,mm,mm,hPa,hPa,hPa,kA,V,kW,%,°C    ,°C    ,°C    ,kN    ,kN    ,mm    ,hPa   ,hPa   ,hPa   ,ms    ,ms    ,,ms    ,%     
1,06/03/2013,10:09:19,00:00:00,400,23,24,21,21,7,0.000,2.740,0.070,0.00,995.12,21.06,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
2,06/03/2013,10:09:20,00:00:01,400,23,24,21,21,5,0.000,2.730,0.060,0.00,995.12,21.06,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
3,06/03/2013,10:09:21,00:00:02,400,23,24,21,21,5,0.000,2.730,0.060,0.00,975.43,21.06,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
4,06/03/2013,10:09:22,00:00:03,400,23,24,21,21,5,0.000,2.720,0.050,0.00,748.17,-274.88,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
5,06/03/2013,10:09:23,00:00:04,400,23,24,21,21,5,0.000,2.720,0.050,0.00,748.17,-274.88,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
6,06/03/2013,10:09:24,00:00:05,400,23,24,21,21,5,0.000,2.720,0.050,0.00,496.64,-405.60,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
7,06/03/2013,10:09:25,00:00:06,400,22,24,21,21,5,0.000,2.720,0.050,0.00,416.51,-575.44,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
8,06/03/2013,10:09:26,00:00:07,400,22,24,21,21,5,0.000,2.720,0.050,0.00,354.93,-575.44,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
9,06/03/2013,10:09:27,00:00:08,400,21,24,21,21,5,0.000,2.720,0.050,0.00,306.09,-634.62,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
10,06/03/2013,10:09:28,00:00:09,400,19,24,21,21,5,0.000,2.720,0.050,0.00,266.03,-634.62,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
11,06/03/2013,10:09:29,00:00:10,400,16,23,21,21,5,0.000,2.720,0.050,0.00,232.75,-634.62,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
12,06/03/2013,10:09:30,00:00:11,400,13,22,21,21,5,0.000,2.720,0.050,0.00,204.37,-634.62,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
13,06/03/2013,10:09:31,00:00:12,400,13,21,21,21,5,0.000,2.720,0.050,0.00,179.56,-634.62,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
14,06/03/2013,10:09:32,00:00:13,400,11,21,21,21,5,0.000,2.720,0.050,0.00,158.04,-634.62,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
15,06/03/2013,10:09:33,00:00:14,400,9,20,21,21,5,0.000,2.720,0.050,0.00,138.89,-634.62,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
16,06/03/2013,10:09:34,00:00:15,400,9,19,21,21,5,0.000,2.720,0.050,0.00,107.07,-634.62,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
17,06/03/2013,10:09:35,00:00:16,400,8,17,21,21,5,0.000,2.720,0.050,0.00,107.07,-634.62,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
18,06/03/2013,10:09:36,00:00:17,400,7,17,21,21,5,0.000,2.720,0.050,0.00,82.34,-634.62,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
19,06/03/2013,10:09:37,00:00:18,400,7,16,21,21,5,0.000,2.720,0.050,0.00,72.04,-634.65,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
20,06/03/2013,10:09:38,00:00:19,400,7,15,21,21,5,0.000,2.720,0.050,0.00,62.96,-634.65,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
21,06/03/2013,10:09:39,00:00:20,400,7,15,21,21,5,0.000,2.720,0.050,0.00,54.95,-634.65,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
22,06/03/2013,10:09:40,00:00:21,400,6,14,21,21,5,0.000,2.720,0.050,0.00,47.92,-634.69,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
23,06/03/2013,10:09:41,00:00:22,400,6,14,21,21,5,0.000,2.720,0.050,0.00,41.67,-634.69,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
24,06/03/2013,10:09:42,00:00:23,400,6,14,21,21,5,0.000,2.720,0.050,0.00,41.67,-634.73,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
25,06/03/2013,10:09:43,00:00:24,400,6,13,21,21,5,0.000,2.720,0.050,0.00,31.52,-634.65,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
26,06/03/2013,10:09:44,00:00:25,400,7,12,21,21,5,0.000,2.720,0.050,0.00,31.52,-634.73,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
27,06/03/2013,10:09:45,00:00:26,400,7,12,21,21,5,0.000,2.720,0.050,0.00,23.28,-634.77,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
28,06/03/2013,10:09:46,00:00:27,400,7,12,21,21,5,0.000,2.720,0.050,0.00,20.15,-634.77,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
29,06/03/2013,10:09:47,00:00:28,400,7,11,21,21,5,0.000,2.720,0.050,0.00,17.09,-634.88,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
30,06/03/2013,10:09:48,00:00:29,400,8,11,21,21,5,0.000,2.720,0.050,0.00,14.65,-634.88,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
31,06/03/2013,10:09:49,00:00:30,400,8,11,21,21,5,0.000,2.720,0.050,0.00,12.29,-634.88,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
32,06/03/2013,10:09:50,00:00:31,400,8,10,21,21,5,0.000,2.720,0.050,0.00,10.38,-634.81,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
33,06/03/2013,10:09:51,00:00:32,400,9,10,21,21,5,0.000,2.720,0.050,0.00,8.55,-634.77,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
34,06/03/2013,10:09:52,00:00:33,400,9,10,21,21,5,0.000,2.720,0.050,0.00,7.33,-634.92,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
35,06/03/2013,10:09:53,00:00:34,400,9,10,21,21,5,0.000,2.720,0.050,0.00,6.11,-634.84,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
36,06/03/2013,10:09:54,00:00:35,400,9,10,21,21,5,0.000,2.720,0.050,0.00,4.88,-634.92,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
37,06/03/2013,10:09:55,00:00:36,400,9,10,21,21,5,0.000,2.720,0.050,0.00,3.97,-634.84,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
38,06/03/2013,10:09:56,00:00:37,400,10,9,21,21,5,0.000,2.720,0.050,0.00,2.44,-634.92,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
39,06/03/2013,10:09:57,00:00:38,400,10,9,21,21,5,0.000,2.720,0.050,0.00,2.44,-634.88,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
40,06/03/2013,10:09:58,00:00:39,400,10,9,21,21,5,0.000,2.720,0.050,0.00,1.22,-634.88,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
41,06/03/2013,10:09:59,00:00:40,400,11,9,21,21,5,0.000,2.720,0.050,0.00,0.61,-634.84,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
42,06/03/2013,10:10:00,00:00:41,400,11,9,21,21,5,0.000,2.720,0.050,0.00,0.08,-634.84,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
43,06/03/2013,10:10:01,00:00:42,400,11,9,21,21,5,0.000,2.720,0.050,0.00,0.00,-634.92,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
44,06/03/2013,10:10:02,00:00:43,400,12,9,21,21,5,0.000,2.720,0.050,0.00,0.00,-634.92,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
45,06/03/2013,10:10:03,00:00:44,400,12,9,21,21,5,0.000,2.720,0.050,0.00,0.00,-634.92,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
46,06/03/2013,10:10:04,00:00:45,400,12,9,21,21,5,0.000,2.720,0.050,0.00,0.00,-634.92,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
47,06/03/2013,10:10:05,00:00:46,400,12,9,21,21,5,0.000,2.720,0.050,0.00,0.00,-634.92,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
48,06/03/2013,10:10:06,00:00:47,400,12,9,21,21,5,0.000,2.720,0.050,0.00,0.00,-634.92,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
49,06/03/2013,10:10:07,00:00:48,400,13,9,21,21,5,0.000,2.720,0.050,0.00,0.00,-634.92,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
50,06/03/2013,10:10:08,00:00:49,400,13,9,21,21,5,0.000,2.720,0.050,0.00,0.00,-634.88,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
51,06/03/2013,10:10:09,00:00:50,400,13,9,21,21,5,0.000,2.720,0.050,0.00,0.00,-634.92,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
52,06/03/2013,10:10:10,00:00:51,400,13,9,21,21,5,0.000,2.720,0.050,0.00,0.00,-634.92,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
53,06/03/2013,10:10:11,00:00:52,400,13,9,21,21,5,0.000,2.720,0.050,0.00,0.00,-634.92,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
54,06/03/2013,10:10:12,00:00:53,400,13,9,21,21,5,0.000,2.720,0.050,0.00,0.00,-634.92,0.01,0.01,0.0,100.0,20,450,1300,5,5,12,20,1,1,0,0,1,0,0
